query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus
C1;2951.8;102.80000000000018;112.19999999999982;120.4;9.400000000000006;13.599999999999994;60;20;37;58.8;19.799999999999997;37.2;299.6;26.600000000000023;25.399999999999977;298.2;26.19999999999999;24.80000000000001;20.8;11.8;26.2;NaN;NaN;NaN;19;1;1;17.8;0.8000000000000007;0.1999999999999993;64.4;4.400000000000006;8.599999999999994;56.6;4.600000000000001;7.399999999999999;54.2;6.200000000000003;16.799999999999997;52.4;5.399999999999999;16.6
C2;8625;109;64;1203.6;31.59999999999991;20.40000000000009;299;14;20;298.2;14.199999999999989;19.80000000000001;909.2;45.200000000000045;51.799999999999955;908.2;45.200000000000045;51.799999999999955;21.8;12.8;10.2;NaN;NaN;NaN;28.8;2.8000000000000007;3.1999999999999993;28.4;2.3999999999999986;2.6000000000000014;1063.2;14.200000000000045;12.799999999999955;1062.6;14.599999999999909;13.400000000000091;81.6;8.599999999999994;23.400000000000006;81.2;8.200000000000003;22.799999999999997
S5;3283.2;87.19999999999982;134.80000000000018;236.5;10.5;10.5;26.6;5.600000000000001;8.399999999999999;26.5;3.5;3.5;57.2;23.200000000000003;22.799999999999997;62.5;16.5;16.5;13.8;6.800000000000001;11.2;NaN;NaN;NaN;10.4;7.4;22.6;20.5;11.5;11.5;25.8;3.8000000000000007;2.1999999999999993;19;2;2;19.4;2.3999999999999986;2.6000000000000014;19.5;1.5;1.5
