query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus
1;15;0;0;NaN;NaN;NaN;8;0;0;NaN;NaN;NaN;16;0;0;NaN;NaN;NaN;34;0;0;NaN;NaN;NaN;17;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN
2;52;0;0;NaN;NaN;NaN;34;0;0;NaN;NaN;NaN;29;0;0;NaN;NaN;NaN;46;0;0;NaN;NaN;NaN;13;0;0;NaN;NaN;NaN;15;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN
3;34;0;0;NaN;NaN;NaN;23;0;0;NaN;NaN;NaN;18;0;0;NaN;NaN;NaN;37;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;7;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN
4;35;0;0;NaN;NaN;NaN;23;0;0;NaN;NaN;NaN;22;0;0;NaN;NaN;NaN;44;0;0;NaN;NaN;NaN;26;0;0;NaN;NaN;NaN;18;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN
7;162;0;0;NaN;NaN;NaN;66;0;0;NaN;NaN;NaN;19;0;0;NaN;NaN;NaN;78;0;0;NaN;NaN;NaN;13;0;0;NaN;NaN;NaN;18;0;0;NaN;NaN;NaN;6;0;0;NaN;NaN;NaN
8;71;0;0;NaN;NaN;NaN;42;0;0;NaN;NaN;NaN;18;0;0;NaN;NaN;NaN;53;0;0;NaN;NaN;NaN;12;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN
10;56;0;0;NaN;NaN;NaN;44;0;0;NaN;NaN;NaN;26;0;0;NaN;NaN;NaN;50;0;0;NaN;NaN;NaN;11;0;0;NaN;NaN;NaN;14;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN
11;4;0;0;NaN;NaN;NaN;4;0;0;NaN;NaN;NaN;12;0;0;NaN;NaN;NaN;22;0;0;NaN;NaN;NaN;7;0;0;NaN;NaN;NaN;3;0;0;NaN;NaN;NaN;1;0;0;NaN;NaN;NaN
12;16;0;0;NaN;NaN;NaN;10;0;0;NaN;NaN;NaN;13;0;0;NaN;NaN;NaN;37;0;0;NaN;NaN;NaN;9;0;0;NaN;NaN;NaN;9;0;0;NaN;NaN;NaN;1;0;0;NaN;NaN;NaN
