query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus;7-mean;7-minus;7-plus;7-first-mean;7-first-minus;7-first-plus;8-mean;8-minus;8-plus;8-first-mean;8-first-minus;8-first-plus
C1;361;26;47;118.2;16.200000000000003;37.8;414.8;53.80000000000001;89.19999999999999;398.6;57.60000000000002;88.39999999999998;7.6;0.5999999999999996;0.40000000000000036;7.6;0.5999999999999996;0.40000000000000036;5.8;0.7999999999999998;0.20000000000000018;5.8;0.7999999999999998;0.20000000000000018;8.2;0.1999999999999993;0.8000000000000007;7.8;0.7999999999999998;0.20000000000000018;21.8;3.8000000000000007;6.199999999999999;21.6;4.600000000000001;6.399999999999999;54.4;28.4;36.6;43.2;17.200000000000003;28.799999999999997;8.4;0.40000000000000036;0.5999999999999996;8.2;0.1999999999999993;0.8000000000000007;11.4;5.4;9.6;11;5;9
C2;5017.6;183.60000000000036;151.39999999999964;NaN;NaN;NaN;2503;141;225;NaN;NaN;NaN;83;2;5;NaN;NaN;NaN;19.2;0.1999999999999993;0.8000000000000007;NaN;NaN;NaN;23;1;2;NaN;NaN;NaN;51;10;4;NaN;NaN;NaN;246.6;69.6;66.4;NaN;NaN;NaN;12.2;0.1999999999999993;0.8000000000000007;NaN;NaN;NaN;6.6;1.5999999999999996;6.4;NaN;NaN;NaN
C3;3230;163;377;78.8;55.8;218.2;4712.2;132.19999999999982;199.80000000000018;12.6;1.5999999999999996;1.4000000000000004;5898.8;92.80000000000018;58.19999999999982;16.6;1.6000000000000014;1.3999999999999986;2737.2;16.199999999999818;9.800000000000182;2562.2;14.199999999999818;10.800000000000182;5269.8;182.80000000000018;141.19999999999982;4857.6;134.60000000000036;100.39999999999964;2397.4;46.40000000000009;34.59999999999991;2201.4;41.40000000000009;30.59999999999991;945;129;103;54;16;27;407.2;15.199999999999989;32.80000000000001;259.2;4.199999999999989;4.800000000000011;97.6;5.599999999999994;16.400000000000006;40;3;10
