query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus;7-mean;7-minus;7-plus;7-first-mean;7-first-minus;7-first-plus;8-mean;8-minus;8-plus;8-first-mean;8-first-minus;8-first-plus;9-mean;9-minus;9-plus;9-first-mean;9-first-minus;9-first-plus
F1;22.6;2.6000000000000014;2.3999999999999986;NaN;NaN;NaN;13.8;0.8000000000000007;1.1999999999999993;NaN;NaN;NaN;4.8;0.7999999999999998;1.2000000000000002;NaN;NaN;NaN;4;1;1;NaN;NaN;NaN;5.8;0.7999999999999998;0.20000000000000018;NaN;NaN;NaN;16;3;3;NaN;NaN;NaN;19;2;8;NaN;NaN;NaN;6.4;0.40000000000000036;0.5999999999999996;NaN;NaN;NaN;5.6;3.5999999999999996;14.4;NaN;NaN;NaN;10.2;1.1999999999999993;0.8000000000000007;NaN;NaN;NaN
F2;23.8;17.8;50.2;38;NaN;NaN;15.6;9.6;26.4;12;NaN;NaN;3.2;1.2000000000000002;1.7999999999999998;4;NaN;NaN;3.4;0.3999999999999999;0.6000000000000001;4;NaN;NaN;5.4;1.4000000000000004;1.5999999999999996;5;NaN;NaN;23;6;11;22;NaN;NaN;17.4;0.3999999999999986;1.6000000000000014;17;NaN;NaN;11;1;2;12;NaN;NaN;10.6;8.6;31.4;3;NaN;NaN;24.4;1.3999999999999986;2.6000000000000014;25;NaN;NaN
F3;108;100;74;18.666666666666668;2.666666666666668;5.333333333333332;36.2;32.2;34.8;35;10;15;4;2;2;5;NaN;NaN;3.8;0.7999999999999998;1.2000000000000002;4.333333333333333;0.33333333333333304;0.666666666666667;6.8;3.8;2.2;8.333333333333334;0.3333333333333339;0.6666666666666661;14;2;2;14;1;1;30.2;10.2;15.8;21.666666666666668;1.6666666666666679;1.3333333333333321;6.8;0.7999999999999998;1.2000000000000002;7;NaN;NaN;4.8;2.8;8.2;3;NaN;NaN;13.6;0.5999999999999996;2.4000000000000004;13.666666666666666;1.666666666666666;2.333333333333334
F4;53.4;2.3999999999999986;3.6000000000000014;NaN;NaN;NaN;35.4;14.399999999999999;16.6;NaN;NaN;NaN;3.4;0.3999999999999999;0.6000000000000001;NaN;NaN;NaN;3.6;0.6000000000000001;0.3999999999999999;NaN;NaN;NaN;5.4;1.4000000000000004;2.5999999999999996;NaN;NaN;NaN;22.6;9.600000000000001;13.399999999999999;NaN;NaN;NaN;29;11;9;NaN;NaN;NaN;24;1;1;NaN;NaN;NaN;2.6;0.6000000000000001;0.3999999999999999;NaN;NaN;NaN;37.6;0.6000000000000014;1.3999999999999986;NaN;NaN;NaN
F5;95;18;16;12.4;2.4000000000000004;4.6;60.4;17.4;14.600000000000001;10.4;2.4000000000000004;4.6;6;1;1;4.8;0.7999999999999998;2.2;5;1;2;4.2;1.2000000000000002;1.7999999999999998;12.2;3.1999999999999993;3.8000000000000007;11.4;2.4000000000000004;3.5999999999999996;32.4;12.399999999999999;12.600000000000001;31.2;12.2;12.8;18;5;4;17.2;5.199999999999999;3.8000000000000007;8.4;0.40000000000000036;0.5999999999999996;7.4;0.40000000000000036;0.5999999999999996;7.2;3.2;9.8;6;3;10;14.2;1.1999999999999993;1.8000000000000007;13.8;0.8000000000000007;1.1999999999999993
L1;21;6;10;10.75;5.75;4.25;16;7;13;8.75;1.75;2.25;3.2;1.2000000000000002;0.7999999999999998;3.5;0.5;0.5;4.4;0.40000000000000036;0.5999999999999996;3.5;0.5;0.5;5.6;1.5999999999999996;1.4000000000000004;5.25;1.25;0.75;20;6;10;19;6;11;16.8;1.8000000000000007;1.1999999999999993;16.75;1.75;1.25;5.8;0.7999999999999998;0.20000000000000018;5.5;0.5;0.5;2.4;0.3999999999999999;0.6000000000000001;2.5;0.5;0.5;6;0;0;6;NaN;NaN
L2;10.6;2.5999999999999996;3.4000000000000004;6.6;2.5999999999999996;1.4000000000000004;7.4;1.4000000000000004;2.5999999999999996;5.4;1.4000000000000004;1.5999999999999996;5.2;2.2;3.8;5;2;3;4.8;1.7999999999999998;2.2;4.4;1.4000000000000004;2.5999999999999996;8.2;3.1999999999999993;4.800000000000001;8.2;3.1999999999999993;4.800000000000001;15.4;1.4000000000000004;1.5999999999999996;14.8;1.8000000000000007;1.1999999999999993;17.8;1.8000000000000007;1.1999999999999993;17.2;1.1999999999999993;0.8000000000000007;5.6;0.5999999999999996;0.40000000000000036;5.4;0.40000000000000036;0.5999999999999996;2.4;0.3999999999999999;0.6000000000000001;2.2;0.20000000000000018;0.7999999999999998;4.4;0.40000000000000036;0.5999999999999996;4.2;0.20000000000000018;0.7999999999999998
L3;11;3;2;5;1;1;7.8;2.8;2.2;3;NaN;NaN;3.2;0.20000000000000018;0.7999999999999998;2.8;0.7999999999999998;1.2000000000000002;4.6;0.5999999999999996;0.40000000000000036;4.2;0.20000000000000018;0.7999999999999998;14;9;5;13.6;9.6;4.4;16.2;3.1999999999999993;6.800000000000001;16.2;3.1999999999999993;6.800000000000001;21.2;8.2;16.8;18.6;5.600000000000001;8.399999999999999;6.2;0.20000000000000018;0.7999999999999998;5.6;0.5999999999999996;0.40000000000000036;3.8;0.7999999999999998;2.2;3.2;1.2000000000000002;2.8;4.2;0.20000000000000018;0.7999999999999998;4;NaN;NaN
L4;6;0;0;4;NaN;NaN;5;0;0;4;NaN;NaN;3.2;1.2000000000000002;1.7999999999999998;3;1;1;3.6;0.6000000000000001;0.3999999999999999;3.2;0.20000000000000018;0.7999999999999998;5.6;0.5999999999999996;0.40000000000000036;5;1;1;16.2;3.1999999999999993;4.800000000000001;16;3;5;17.8;3.8000000000000007;2.1999999999999993;17.4;3.3999999999999986;1.6000000000000014;5.8;0.7999999999999998;0.20000000000000018;5.6;0.5999999999999996;0.40000000000000036;8.8;6.800000000000001;11.2;8.6;6.6;10.4;3.6;0.6000000000000001;0.3999999999999999;3.4;0.3999999999999999;0.6000000000000001
L5;14.2;3.1999999999999993;3.8000000000000007;8;2;1;12;3;6;6.8;1.7999999999999998;2.2;6;1;1;6;1;1;6.6;1.5999999999999996;2.4000000000000004;6.4;1.4000000000000004;2.5999999999999996;12.2;3.1999999999999993;4.800000000000001;11.6;3.5999999999999996;5.4;16.2;3.1999999999999993;3.8000000000000007;15.6;2.5999999999999996;2.4000000000000004;18.4;2.3999999999999986;1.6000000000000014;18;2;1;6.6;0.5999999999999996;0.40000000000000036;6;NaN;NaN;3.6;0.6000000000000001;0.3999999999999999;3;NaN;NaN;7.2;1.2000000000000002;1.7999999999999998;7.2;1.2000000000000002;1.7999999999999998
S1;87.6;35.599999999999994;39.400000000000006;18.4;3.3999999999999986;8.600000000000001;64.6;15.599999999999994;24.400000000000006;32.6;22.6;28.4;9;3;2;8.6;2.5999999999999996;2.4000000000000004;5.2;1.2000000000000002;0.7999999999999998;4.8;0.7999999999999998;1.2000000000000002;10.8;1.8000000000000007;2.1999999999999993;10.4;2.4000000000000004;1.5999999999999996;20;5;9;19.6;5.600000000000001;9.399999999999999;19;4;3;18.4;3.3999999999999986;2.6000000000000014;146.6;7.599999999999994;14.400000000000006;146;7;14;7;3;12;6.4;3.4000000000000004;12.6;61.2;2.200000000000003;1.7999999999999972;60.6;1.6000000000000014;2.3999999999999986
S2;56.8;35.8;83.2;28.8;22.8;67.2;26.8;9.8;17.2;9.6;4.6;3.4000000000000004;3.8;0.7999999999999998;1.2000000000000002;3.8;0.7999999999999998;1.2000000000000002;4.4;0.40000000000000036;0.5999999999999996;4.2;0.20000000000000018;0.7999999999999998;7;1;1;6.4;1.4000000000000004;1.5999999999999996;14;1;2;13.8;0.8000000000000007;2.1999999999999993;17.8;0.8000000000000007;0.1999999999999993;17.4;1.3999999999999986;0.6000000000000014;5.8;0.7999999999999998;1.2000000000000002;5.4;0.40000000000000036;0.5999999999999996;6.8;3.8;15.2;6.6;4.6;15.4;6.8;0.7999999999999998;1.2000000000000002;6.4;0.40000000000000036;1.5999999999999996
S3;46;9;12;21;2;2;34.4;11.399999999999999;8.600000000000001;6;NaN;NaN;5;1;1;5;NaN;NaN;4.4;1.4000000000000004;0.5999999999999996;4;NaN;NaN;7;2;3;9.5;0.5;0.5;18.8;7.800000000000001;11.2;14.5;0.5;0.5;20.4;3.3999999999999986;1.6000000000000014;21.5;0.5;0.5;5.8;0.7999999999999998;1.2000000000000002;6;NaN;NaN;7.6;5.6;15.4;15.5;7.5;7.5;7.4;0.40000000000000036;1.5999999999999996;7.5;0.5;0.5
S4;45.2;14.200000000000003;15.799999999999997;NaN;NaN;NaN;41.2;12.200000000000003;20.799999999999997;NaN;NaN;NaN;11.2;8.2;4.800000000000001;NaN;NaN;NaN;8.8;3.8000000000000007;2.1999999999999993;NaN;NaN;NaN;9.8;2.8000000000000007;2.1999999999999993;NaN;NaN;NaN;17.2;3.1999999999999993;3.8000000000000007;NaN;NaN;NaN;19.4;3.3999999999999986;5.600000000000001;NaN;NaN;NaN;5.8;0.7999999999999998;1.2000000000000002;NaN;NaN;NaN;3.8;1.7999999999999998;7.2;NaN;NaN;NaN;5.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN
S5;7.4;1.4000000000000004;2.5999999999999996;NaN;NaN;NaN;5.6;0.5999999999999996;2.4000000000000004;NaN;NaN;NaN;4.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;3.8;0.7999999999999998;1.2000000000000002;NaN;NaN;NaN;5.4;0.40000000000000036;0.5999999999999996;NaN;NaN;NaN;14.8;0.8000000000000007;1.1999999999999993;NaN;NaN;NaN;21.6;5.600000000000001;11.399999999999999;NaN;NaN;NaN;5.6;0.5999999999999996;1.4000000000000004;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;4.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN
S6;15;9;6;11.75;5.75;5.25;10;6;4;4.5;0.5;0.5;3.4;0.3999999999999999;0.6000000000000001;3.5;0.5;0.5;3.6;0.6000000000000001;0.3999999999999999;3.5;0.5;0.5;5.4;1.4000000000000004;1.5999999999999996;4.75;0.75;2.25;17.2;4.199999999999999;12.8;18;5;12;27;10;12;18.25;3.25;1.75;5.8;0.7999999999999998;0.20000000000000018;5.75;0.75;0.25;2;0;0;2;NaN;NaN;5.2;1.2000000000000002;0.7999999999999998;5.25;1.25;0.75
S7;3;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;3.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;4.4;0.40000000000000036;0.5999999999999996;NaN;NaN;NaN;20;7;11;NaN;NaN;NaN;17.6;0.6000000000000014;1.3999999999999986;NaN;NaN;NaN;5.2;0.20000000000000018;0.7999999999999998;NaN;NaN;NaN;2;0;0;NaN;NaN;NaN;5;0;0;NaN;NaN;NaN
