name;id;results;time
1;0;0.5;9.277000000000001
2;0;19.5;67.663
3;0;0.2;15.001999999999999
4;0;0;13.274
5;0;3.5;412.284
6;0;undefined;undefined
7;0;9.38;46.846
8;0;5.05;33.038
9;0;629.48;20.808
10;0;2.8;37.202
11;0;10;5.982
12;0;1120.2;11.013
