cpu_percentage,memory,memory_percentage,received,transmitted
26.16342931937173,936398848,22.697942904913337,231301,29116305
26.380791556728234,933457920,22.62665595707692,242288,29126406
26.526710875331567,938258432,22.743018495885114,251293,29131291
26.19497382198953,935800832,22.683447230283647,256696,29134222
26.409868073878627,935186432,22.66855441388328,263900,29138130
25.85502590673575,935112704,22.666767275915237,267502,29140084
26.190026178010474,934854656,22.660512293027086,271062,30159566
26.3037532808399,934141952,22.643236626002658,280038,34856104
26.023832487309644,934338560,22.648002327250776,285842,37085186
27.36657142857143,935780352,22.682950803070305,294088,40791498
26.1453470437018,947294208,22.96204218241317,297454,42532124
26.53816976127321,974086144,23.611468262911824,306030,46435554
25.963168831168833,974389248,23.618815385669336,309990,48406074
26.02280104712042,975441920,23.6443317444353,317382,52111656
26.036321243523314,977842176,23.7025130138394,321734,53656026
26.25356955380577,980815872,23.774594245217173,329402,57598052
25.97402597402597,980164608,23.758807859832785,333556,58906832
25.793720930232556,979394560,23.740142196610993,341476,63012082
26.025532467532468,979423232,23.740837194709673,347742,65536148
26.025629820051417,981884928,23.80050774575381,356582,69340847
26.580668380462726,986714112,23.91756528266069,360938,71574242
27.57111111111111,983617536,23.842505488002843,369976,75576198
26.745198938992043,983351296,23.836051934229353,375784,78860596
26.234685863874347,983085056,23.82959838045586,382314,81384530
14.569922879177376,983080960,23.82949909501319,385680,83125156
13.209612403100776,983097344,23.829896236783867,391290,85884148
25.88492268041237,983420928,23.837739786754728,397160,88178254
27.25365079365079,983228416,23.83307337094928,407122,92672708
26.29857881136951,985653248,23.891850353009392,413392,95825540
26.230208333333334,998477824,24.202713074006375,420198,98580420
26.968530183727037,998522880,24.203805213875736,427932,102949590
26.350682414698163,997711872,24.184146696227252,433934,105407906
26.156380208333335,996892672,24.16428960769343,442052,109480314
25.985078125,995405824,24.128248992004544,446602,111216238
25.070666666666668,994934784,24.116831166097597,460795,115286556
28.597932960893857,995586048,24.13261755148198,522090,115386859
26.19975476839237,996102144,24.14512751725829,568798,115586578
27.416861111111114,996614144,24.15753819759193,619231,115786077
27.41354223433243,997638144,24.182359558259208,666052,116017463
29.90179640718563,1005039616,24.36176835316229,710359,116221535
24.91299719887955,1004867584,24.357598364570187,761058,116335302
16.11795724465558,1005678592,24.377256882218674,799035,116364966
